Customer_ID,Total_Orders,Total_Sales,Last_Order_Date,Recency,Cluster,Customer_Segment
AA-10315,5,5563.56,2018-06-29,184,0,Regular Customers
AA-10375,9,1056.39,2018-12-11,19,0,Regular Customers
AA-10480,4,1790.5120000000002,2018-04-15,259,0,Regular Customers
AA-10645,6,5086.9349999999995,2018-11-05,55,2,Low Engagement Customers
AB-10015,3,886.156,2017-11-10,415,1,High Value Customers
AB-10060,8,7755.62,2018-11-06,54,2,Low Engagement Customers
AB-10105,10,14473.570999999998,2018-11-19,41,2,Low Engagement Customers
AB-10150,5,966.71,2018-11-19,41,0,Regular Customers
AB-10165,8,1113.838,2018-12-05,25,0,Regular Customers
AB-10255,9,914.5319999999999,2018-07-17,166,0,Regular Customers
AB-10600,4,1515.862,2018-11-10,50,0,Regular Customers
AC-10420,3,925.8,2018-05-12,232,0,Regular Customers
AC-10450,7,5527.846,2018-12-19,11,2,Low Engagement Customers
AC-10615,5,2537.6859999999997,2018-12-24,6,0,Regular Customers
AC-10660,5,657.316,2018-03-23,282,0,Regular Customers
AD-10180,8,6106.88,2018-12-01,29,2,Low Engagement Customers
AF-10870,7,2052.908,2018-11-19,41,0,Regular Customers
AF-10885,4,861.565,2017-11-10,415,1,High Value Customers
AG-10270,5,2582.898,2018-03-27,278,0,Regular Customers
AG-10300,4,367.548,2018-09-03,118,0,Regular Customers
AG-10330,5,660.972,2018-12-22,8,0,Regular Customers
AG-10390,5,200.945,2018-09-07,114,0,Regular Customers
AG-10495,7,1419.247,2018-10-13,78,0,Regular Customers
AG-10525,4,1455.038,2016-09-07,844,1,High Value Customers
AG-10675,7,3489.0396000000005,2018-09-24,97,0,Regular Customers
AG-10765,4,170.584,2018-10-14,77,0,Regular Customers
AG-10900,10,4510.797,2018-09-25,96,2,Low Engagement Customers
AH-10030,7,1744.7,2018-12-18,12,0,Regular Customers
AH-10075,10,3250.337,2018-11-26,34,2,Low Engagement Customers
AH-10120,7,1735.5140000000001,2018-10-31,60,0,Regular Customers
AH-10195,4,1587.452,2018-11-05,55,0,Regular Customers
AH-10210,9,4805.344,2018-12-24,6,2,Low Engagement Customers
AH-10465,5,2495.3916,2018-05-14,230,0,Regular Customers
AH-10585,4,738.504,2018-12-09,21,0,Regular Customers
AH-10690,12,7888.294,2017-11-15,410,2,Low Engagement Customers
AI-10855,10,4375.786,2018-12-17,13,2,Low Engagement Customers
AJ-10780,7,4867.344,2018-10-16,75,2,Low Engagement Customers
AJ-10795,7,4501.391,2018-07-17,166,2,Low Engagement Customers
AJ-10945,6,1829.896,2018-08-31,121,0,Regular Customers
AJ-10960,3,629.2479999999999,2018-10-17,74,0,Regular Customers
AM-10360,5,814.012,2018-12-02,28,0,Regular Customers
AM-10705,8,5664.022,2018-07-21,162,2,Low Engagement Customers
AO-10810,1,161.28,2017-08-16,501,1,High Value Customers
AP-10720,6,545.932,2018-11-19,41,0,Regular Customers
AP-10915,10,3323.556,2018-09-23,98,2,Low Engagement Customers
AR-10345,4,1055.694,2018-09-10,111,0,Regular Customers
AR-10405,5,2236.128,2018-08-27,125,0,Regular Customers
AR-10510,5,264.86400000000003,2018-12-16,14,0,Regular Customers
AR-10540,6,6608.448,2018-12-24,6,2,Low Engagement Customers
AR-10570,1,88.15,2017-07-14,534,1,High Value Customers
AR-10825,8,4523.336,2018-11-02,58,2,Low Engagement Customers
AS-10045,7,3050.692,2018-10-03,88,0,Regular Customers
AS-10090,9,3255.31,2018-12-02,28,2,Low Engagement Customers
AS-10135,2,58.82,2018-11-19,41,0,Regular Customers
AS-10225,5,4260.784,2018-12-08,22,0,Regular Customers
AS-10240,5,503.968,2018-06-21,192,0,Regular Customers
AS-10285,6,3214.236,2018-12-11,19,0,Regular Customers
AS-10630,7,833.398,2018-09-29,92,0,Regular Customers
AT-10435,5,1166.0720000000001,2018-12-09,21,0,Regular Customers
AT-10735,10,3831.864,2018-12-17,13,2,Low Engagement Customers
AW-10840,4,649.376,2018-12-10,20,0,Regular Customers
AW-10930,7,2852.968,2018-11-14,46,0,Regular Customers
AY-10555,4,497.014,2018-12-16,14,0,Regular Customers
AZ-10750,6,1622.0179999999998,2018-07-23,160,0,Regular Customers
BB-10990,5,744.3399999999999,2018-09-16,105,0,Regular Customers
BB-11545,9,6765.728,2018-12-02,28,2,Low Engagement Customers
BC-11125,9,2933.676,2018-06-11,202,2,Low Engagement Customers
BD-11320,12,5718.521,2018-11-27,33,2,Low Engagement Customers
BD-11500,6,4411.2429999999995,2018-11-25,35,0,Regular Customers
BD-11560,2,320.54,2018-03-27,278,1,High Value Customers
BD-11605,6,2783.189,2018-09-24,97,0,Regular Customers
BD-11620,6,1538.11,2018-10-22,69,0,Regular Customers
BD-11635,3,582.646,2018-12-21,9,0,Regular Customers
BD-11725,6,1526.5,2018-09-28,93,0,Regular Customers
BD-11770,6,658.466,2018-02-06,327,0,Regular Customers
BE-11335,5,4204.676,2018-09-02,119,0,Regular Customers
BE-11410,5,2261.438,2018-09-23,98,0,Regular Customers
BE-11455,5,748.026,2017-09-05,481,1,High Value Customers
BF-10975,7,599.798,2018-09-30,91,0,Regular Customers
BF-11005,4,1333.88,2018-11-21,39,0,Regular Customers
BF-11020,8,2888.506,2018-10-17,74,2,Low Engagement Customers
BF-11080,3,272.95,2018-12-05,25,0,Regular Customers
BF-11170,11,5907.972,2018-12-14,16,2,Low Engagement Customers
BF-11215,4,1585.162,2018-10-26,65,0,Regular Customers
BF-11275,3,791.9899999999999,2018-11-03,57,0,Regular Customers
BG-11035,8,2798.948,2018-12-02,28,2,Low Engagement Customers
BG-11695,6,1874.172,2018-11-24,36,0,Regular Customers
BG-11740,6,1006.356,2018-11-03,57,0,Regular Customers
BH-11710,8,6255.351,2018-12-07,23,2,Low Engagement Customers
BK-11260,6,659.1379999999999,2018-10-14,77,0,Regular Customers
BM-11140,4,11789.63,2018-02-26,307,2,Low Engagement Customers
BM-11575,6,808.162,2018-09-21,100,0,Regular Customers
BM-11650,11,7294.185,2018-11-27,33,2,Low Engagement Customers
BM-11785,10,1338.842,2018-05-26,218,2,Low Engagement Customers
BN-11470,4,265.296,2018-12-06,24,0,Regular Customers
BN-11515,5,1459.344,2018-12-21,9,0,Regular Customers
BO-11350,5,2682.728,2018-08-15,137,0,Regular Customers
BO-11425,2,130.83,2018-10-16,75,0,Regular Customers
BP-11050,5,983.42,2018-10-08,83,0,Regular Customers
BP-11095,12,2442.044,2018-12-13,17,2,Low Engagement Customers
BP-11155,6,1697.8609999999999,2018-10-02,89,0,Regular Customers
BP-11185,9,3675.861,2018-12-29,1,2,Low Engagement Customers
BP-11230,5,1181.49,2018-11-21,39,0,Regular Customers
BP-11290,7,2475.157,2018-12-18,12,0,Regular Customers
BS-11365,5,10501.653,2017-06-20,558,1,High Value Customers
BS-11380,5,3887.834,2018-12-02,28,0,Regular Customers
BS-11590,6,2454.928,2018-11-25,35,0,Regular Customers
BS-11665,3,3288.1099999999997,2017-05-27,582,1,High Value Customers
BS-11755,7,2562.382,2018-12-29,1,0,Regular Customers
BS-11800,2,949.4300000000001,2018-04-09,265,1,High Value Customers
BT-11305,5,2567.656,2018-01-28,336,1,High Value Customers
BT-11395,6,2186.6130000000003,2018-03-03,302,0,Regular Customers
BT-11440,4,603.876,2017-06-18,560,1,High Value Customers
BT-11485,2,415.19599999999997,2017-03-11,659,1,High Value Customers
BT-11530,5,2684.4919999999997,2018-09-30,91,0,Regular Customers
BT-11680,7,3196.752,2018-12-10,20,0,Regular Customers
BV-11245,5,1523.2730000000001,2018-01-30,334,1,High Value Customers
BW-11065,3,385.516,2018-06-01,212,0,Regular Customers
BW-11110,8,4750.358,2018-08-31,121,2,Low Engagement Customers
BW-11200,6,1738.406,2018-06-10,203,0,Regular Customers
CA-11965,6,3789.7228,2018-09-25,96,0,Regular Customers
CA-12055,5,1679.7240000000002,2017-11-24,401,1,High Value Customers
CA-12265,8,2638.3272,2018-11-04,56,2,Low Engagement Customers
CA-12310,4,1421.954,2018-12-17,13,0,Regular Customers
CA-12775,7,3041.566,2018-09-01,120,0,Regular Customers
CB-12025,9,5730.669,2018-11-13,47,2,Low Engagement Customers
CB-12415,8,1949.2,2018-12-04,26,0,Regular Customers
